company_id,legal_entity,source_manifest_filter,reviewer,review_date,review_status,entity_check,sme_status,group_check,process_ids,iso_50001_status,iso_14001_status,emas_status,heat_recovery_deployed,energy_management_deployed,flexibility_solution_deployed,thermal_storage_deployed,battery_storage_deployed,power_quality_solution_deployed,industrial_heat_electrification_deployed,evidence_confidence,source_ids_checked,review_notes
P03,Upländer Bauernmolkerei GmbH,P03,,,PENDING,,,,,,,,,,,,,,,,,
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,P04,,,PENDING,,,,,,,,,,,,,,,,,
P05,Einbecker Brauhaus AG,P05,,,PENDING,,,,,,,,,,,,,,,,,
P07,VARIOPLAST Konrad Däbritz GmbH,P07,,,PENDING,,,,,,,,,,,,,,,,,
P10,Oskar Lehmann GmbH & Co. KG,P10,,,PENDING,,,,,,,,,,,,,,,,,
P11,B+T Oberflächentechnik GmbH,P11,,,PENDING,,,,,,,,,,,,,,,,,
P12,Richard Henkel GmbH,P12,,,PENDING,,,,,,,,,,,,,,,,,
P13,Schmalriede-Zink GmbH,P13,,,PENDING,,,,,,,,,,,,,,,,,
P15,ELOXAL BARZ GmbH & Co KG,P15,,,PENDING,,,,,,,,,,,,,,,,,
P16,Sembach GmbH & Co. KG,P16,,,PENDING,,,,,,,,,,,,,,,,,
P18,Glashütte Lamberts Waldsassen GmbH,P18,,,PENDING,,,,,,,,,,,,,,,,,
P19,Glasfabrik Lamberts GmbH & Co. KG,P19,,,PENDING,,,,,,,,,,,,,,,,,
P20,DERIX Glasstudios GmbH & Co. KG,P20,,,PENDING,,,,,,,,,,,,,,,,,
P21,Privatbrauerei MORITZ FIEGE GmbH & Co. KG,P21,,,PENDING,,,,,,,,,,,,,,,,,
P22,RIEDENBURGER BRAUHAUS Michael Krieger GmbH & Co. KG,P22,,,PENDING,,,,,,,,,,,,,,,,,
P23,FM-Plast GmbH,P23,,,PENDING,,,,,,,,,,,,,,,,,
P24,H&K Müller GmbH & Co. KG,P24,,,PENDING,,,,,,,,,,,,,,,,,
P25,Scheplast GmbH,P25,,,PENDING,,,,,,,,,,,,,,,,,
P26,Barth Galvanik GmbH,P26,,,PENDING,,,,,,,,,,,,,,,,,
P27,BCE Special Ceramics GmbH,P27,,,PENDING,,,,,,,,,,,,,,,,,
