candidate_id,legal_entity,standard,certificate_status,certificate_holder,certificate_number,valid_from,valid_until,issuer,direct_certificate_url,certificate_index_url,checked_date,review_status,notes
P01,Burgis GmbH,ISO 50001,NOT_FOUND_AFTER_CHECK,Burgis GmbH,,,,,,https://burgis.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P01,Burgis GmbH,ISO 14001,NOT_FOUND_AFTER_CHECK,Burgis GmbH,,,,,,https://burgis.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P01,Burgis GmbH,EMAS,NOT_FOUND_AFTER_CHECK,Burgis GmbH,,,,,,https://burgis.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P02,Teigwaren Riesa GmbH,ISO 50001,NOT_FOUND_AFTER_CHECK,Teigwaren Riesa GmbH,,,,,,https://www.teigwaren-riesa.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P02,Teigwaren Riesa GmbH,ISO 14001,NOT_FOUND_AFTER_CHECK,Teigwaren Riesa GmbH,,,,,,https://www.teigwaren-riesa.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P02,Teigwaren Riesa GmbH,EMAS,NOT_FOUND_AFTER_CHECK,Teigwaren Riesa GmbH,,,,,,https://www.teigwaren-riesa.de/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P03,Upländer Bauernmolkerei GmbH,ISO 50001,NOT_FOUND_AFTER_CHECK,Upländer Bauernmolkerei GmbH,,,,,,https://www.bauernmolkerei.team/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P03,Upländer Bauernmolkerei GmbH,ISO 14001,NOT_FOUND_AFTER_CHECK,Upländer Bauernmolkerei GmbH,,,,,,https://www.bauernmolkerei.team/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P03,Upländer Bauernmolkerei GmbH,EMAS,NOT_FOUND_AFTER_CHECK,Upländer Bauernmolkerei GmbH,,,,,,https://www.bauernmolkerei.team/,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,ISO 50001,NOT_FOUND_AFTER_CHECK,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,,,,,,https://www.lammsbraeu.de/blog/unsere-zertifizierungen,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,ISO 14001,EXPIRED,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,UG0573-2022,2022-06-02,2025-06-02,Intechnica Cert GmbH,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/Zert._2022-06-02_Re-ZA%2014k_Neumarkter%20Lammsbr%C3%A4u.pdf,https://www.lammsbraeu.de/blog/unsere-zertifizierungen,2026-09-12,RESEARCHED,Direct official certificate verified; validity ended on 2025-06-02 and no current successor certificate was located in the defined checks.
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,EMAS,DOCUMENT_FOUND_VALIDITY_UNCLEAR,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,,,,,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/IHK%20Urkunde%20EMAS.pdf,https://www.lammsbraeu.de/blog/unsere-zertifizierungen,2026-09-12,RESEARCHED,Official certificate page states EMAS participation and links a direct EMAS document; exact current validity metadata could not be extracted.
P05,Einbecker Brauhaus AG,ISO 50001,NOT_FOUND_AFTER_CHECK,Einbecker Brauhaus AG,,,,,,https://www.einbecker-brauhaus.de/aktionaere/berichte,2026-09-12,RESEARCHED,No public direct certificate or official certificate entry was located in the defined official-website and exact-legal-name checks on 2026-09-12; absence of public evidence is not proof that no certification exists.
P05,Einbecker Brauhaus AG,ISO 14001,DOCUMENT_FOUND_VALIDITY_UNCLEAR,Einbecker Brauhaus AG,,,,,https://www.einbecker-brauhaus.de/files/einbecker_gruppe/content/leitbild-und-werte/nachhaltigkeit/umwelterklaerung-ebag-2025.pdf,https://www.einbecker-brauhaus.de/leitbild-werte/nachhaltigkeit,2026-09-13,RESEARCHED,The official 2025 environmental statement says ISO 14001 certification has existed since 1995; a separate current direct certificate and exact validity dates were not located.
P05,Einbecker Brauhaus AG,EMAS,DOCUMENT_FOUND_VALIDITY_UNCLEAR,Einbecker Brauhaus AG,,,,,https://www.einbecker-brauhaus.de/files/einbecker_gruppe/content/leitbild-und-werte/nachhaltigkeit/umwelterklaerung-ebag-2025.pdf,https://www.einbecker-brauhaus.de/leitbild-werte/nachhaltigkeit,2026-09-13,RESEARCHED,The official site states EMAS registration since 2025 and publishes a direct 2025 environmental statement; exact register validity metadata still requires independent verification.
P06,Bada AG,ISO 50001,VALID,Bada AG,130721BadaEM01,,2027-07-12,,https://bada.de/app/uploads/Zertifikat-Bada-50001-2024.pdf,https://bada.de/de/zertifikate,2026-09-12,RESEARCHED,Direct official certificate link verified; issuer and start date still require extraction.
