field,completed_pairs,agreements,disagreements,percent_agreement,cohens_kappa,interpretation
entity_check,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
sme_status,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
group_check,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
process_ids,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
iso_50001_status,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
iso_14001_status,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
emas_status,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
heat_recovery_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
energy_management_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
flexibility_solution_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
thermal_storage_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
battery_storage_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
power_quality_solution_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
industrial_heat_electrification_deployed,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
evidence_confidence,0,0,0,UNKNOWN,UNKNOWN,INSUFFICIENT_COMPLETED_REVIEWS
__OVERALL__,0,0,0,UNKNOWN,NOT_APPLICABLE,FIELD_LEVEL_KAPPA_ONLY
